ProblemNo,Connection,Cost
59,59208 : 27 -> 28 ; 59548 : 16 -> 18 ; 59208 : 31 -> 32 ; 59548 : 20 -> 21 ; 59460 : 14 -> 16 ; 59272 : 18 -> 19 ; 59548 : 38 -> 41 ; 19216 : 16 -> 17 ; 59460 : 19 -> 20 ; 19309 : 5 -> 6 ; 22928 : 3 -> 4 ; 59460 : 21 -> 22 ; 19216 : 27 -> 29 ; 59442 : 20 -> 21 ; 19116 : 16 -> 17 ; 29060 : 13 -> 14 ; 59460 : 24 -> 25 ; 22939 : 11 -> 12 ; 22905 : 12 -> 13 ; 19453 : 13 -> 14 ; 59025 : 14 -> 18 ; 22939 : 16 -> 18 ; 18502 : 18 -> 19 ; 22815 : 9 -> 10 ; 22647 : 19 -> 20 ; 17036 : 2 -> 3 ; 17234 : 12 -> 13 ; 22647 : 21 -> 22 ; 17036 : 5 -> 6 ; 17234 : 17 -> 18,30
60,19269 : 22 -> 23 ; 23010 : 12 -> 13 ; 14266 : 21 -> 22 ; 14308 : 8 -> 9 ; 23010 : 17 -> 29,03:12:22:00
61,14266 : 10 -> 12 ; 23010 : 3 -> 9 ; 19269 : 22 -> 23 ; 23010 : 12 -> 13 ; 14266 : 21 -> 22 ; 14308 : 8 -> 9 ; 23010 : 17 -> 19 ; 19269 : 24 -> 27,05:10:50:00
62,23010 : 25 -> 32,01:13:31:00
63,23010 : 67 -> 68,01:05:40:00
64,15111 : 6 -> 13 ; 14203 : 1 -> 10 ; 54253 : 16 -> 17 ; 14307 : 15 -> 17 ; 14203 : 12 -> 13 ; 54253 : 21 -> 23 ; 14203 : 14 -> 15 ; 54253 : 25 -> 31 ; 19269 : 24 -> 32,05:16:13:00
65,23010 : 62 -> 65,01:03:08:00
66,23010 : 65 -> 67,01:04:22:00
67,23010 : 63 -> 71,01:06:55:00
68,23010 : 14 -> 15 ; 14308 : 8 -> 9 ; 23010 : 17 -> 19 ; 14266 : 31 -> 34 ; 14204 : 4 -> 5 ; 14266 : 36 -> 39 ; 14204 : 9 -> 10 ; 14266 : 41 -> 47 ; 14204 : 15 -> 16 ; 23010 : 38 -> 42,05:17:55:00
69,23010 : 16 -> 19 ; 14266 : 31 -> 34 ; 14204 : 4 -> 5 ; 14266 : 36 -> 39 ; 14204 : 9 -> 10 ; 14266 : 41 -> 42,04:12:10:00
70,17407 : 16 -> 17 ; 17316 : 3 -> 4 ; 22623 : 9 -> 10 ; 17616 : 4 -> 5 ; 17236 : 9 -> 10 ; 22652 : 8 -> 10 ; 12647 : 5 -> 7 ; 17236 : 13 -> 14 ; 16528 : 17 -> 18 ; 16235 : 25 -> 26 ; 11013 : 24 -> 25 ; 54702 : 3 -> 4 ; 54703 : 30 -> 33 ; 22471 : 1 -> 2 ; 12372 : 5 -> 6 ; 22471 : 4 -> 7 ; 22915 : 27 -> 29 ; 14706 : 12 -> 14 ; 22481 : 13 -> 15 ; 22471 : 12 -> 13 ; 59272 : 38 -> 39 ; 19269 : 19 -> 20 ; 18109 : 50 -> 51 ; 14309 : 24 -> 25 ; 15910 : 23 -> 24 ; 54078 : 7 -> 8 ; 22454 : 2 -> 3 ; 24512 : 8 -> 9 ; 55322 : 6 -> 8 ; 54076 : 26 -> 27 ; 14316 : 14 -> 15 ; 54076 : 29 -> 32,16:09:18:00
71,22891 : 5 -> 6 ; 22894 : 3 -> 4 ; 18030 : 16 -> 17 ; 58113 : 10 -> 12 ; 18477 : 19 -> 20 ; 18189 : 6 -> 7 ; 58113 : 19 -> 20 ; 22844 : 16 -> 17 ; 58113 : 24 -> 27 ; 18451 : 9 -> 10 ; 18477 : 25 -> 26 ; 22844 : 18 -> 20 ; 58113 : 42 -> 46 ; 12834 : 14 -> 15 ; 58113 : 49 -> 50 ; 18507 : 23 -> 24 ; 22647 : 4 -> 5 ; 18517 : 5 -> 6 ; 58111 : 58 -> 60 ; 28242 : 17 -> 18 ; 18242 : 28 -> 29 ; 58111 : 64 -> 67 ; 28242 : 19 -> 20 ; 58111 : 73 -> 74 ; 22647 : 9 -> 10 ; 58111 : 77 -> 82 ; 18239 : 25 -> 26 ; 58111 : 84 -> 87 ; 18239 : 27 -> 28 ; 58111 : 89 -> 90 ; 18239 : 29 -> 31 ; 58835 : 2 -> 5 ; 58837 : 8 -> 9 ; 58839 : 14 -> 16 ; 58837 : 11 -> 13 ; 58839 : 21 -> 22 ; 58837 : 14 -> 15 ; 58839 : 25 -> 32,20:22:20:00
72,14266 : 16 -> 17 ; 54077 : 18 -> 19 ; 22453 : 8 -> 9 ; 25014 : 4 -> 5 ; 54077 : 26 -> 28 ; 19610 : 7 -> 8 ; 22482 : 5 -> 6 ; 12371 : 21 -> 22 ; 22916 : 2 -> 4 ; 22472 : 8 -> 9 ; 12371 : 25 -> 27 ; 22472 : 13 -> 14 ; 54704 : 28 -> 30 ; 54702 : 2 -> 3 ; 11013 : 25 -> 26 ; 17307 : 9 -> 10 ; 22685 : 1 -> 2 ; 16589 : 3 -> 5 ; 17313 : 10 -> 11 ; 16587 : 3 -> 4 ; 17313 : 13 -> 15 ; 17301 : 12 -> 14 ; 17316 : 16 -> 17 ; 22685 : 4 -> 5 ; 18047 : 38 -> 39 ; 17317 : 4 -> 5 ; 17415 : 26 -> 28 ; 16589 : 24 -> 25,17:10:29:00
73,51034 : 25 -> 27 ; 19311 : 5 -> 7 ; 17204 : 22 -> 23 ; 59439 : 24 -> 27 ; 22927 : 11 -> 13 ; 22940 : 13 -> 14 ; 19115 : 11 -> 12 ; 59439 : 50 -> 51 ; 29059 : 6 -> 7 ; 19215 : 35 -> 37 ; 29059 : 8 -> 9 ; 59439 : 63 -> 65 ; 22927 : 20 -> 21 ; 59439 : 71 -> 72 ; 19269 : 8 -> 9 ; 19707 : 20 -> 22 ; 59272 : 22 -> 24 ; 22931 : 17 -> 18 ; 19707 : 29 -> 30 ; 54805 : 47 -> 48 ; 19707 : 31 -> 32 ; 25014 : 21 -> 22 ; 22931 : 20 -> 21 ; 24888 : 5 -> 6 ; 19223 : 12 -> 13 ; 54812 : 7 -> 11,12:09:50:00
74,57549 : 57 -> 59 ; 17618 : 8 -> 9 ; 51422 : 37 -> 38 ; 17208 : 27 -> 28 ; 18503 : 22 -> 23 ; 22865 : 3 -> 4 ; 22937 : 14 -> 15 ; 52994 : 15 -> 32 ; 52974 : 33 -> 38 ; 59307 : 10 -> 11 ; 19569 : 13 -> 14 ; 22941 : 6 -> 7 ; 29019 : 14 -> 16 ; 59811 : 47 -> 49 ; 22941 : 8 -> 9 ; 29019 : 23 -> 25 ; 19023 : 66 -> 67 ; 12964 : 17 -> 18 ; 13007 : 90 -> 91 ; 14003 : 23 -> 24 ; 12057 : 1 -> 2 ; 14309 : 24 -> 25 ; 15910 : 23 -> 24 ; 54078 : 7 -> 8 ; 14044 : 5 -> 6 ; 15011 : 7 -> 11,17:08:18:00
75,13007 : 90 -> 91 ; 14003 : 23 -> 24 ; 12958 : 1 -> 2 ; 22472 : 2 -> 3 ; 22482 : 5 -> 6 ; 12371 : 21 -> 22 ; 22916 : 2 -> 4 ; 22472 : 8 -> 9 ; 12371 : 25 -> 27 ; 22472 : 13 -> 14 ; 54704 : 28 -> 30 ; 54702 : 2 -> 3 ; 11013 : 25 -> 26 ; 17307 : 9 -> 10 ; 16534 : 2 -> 3 ; 17615 : 7 -> 9 ; 57478 : 23 -> 24,10:01:29:00
76,56641 : 9 -> 10 ; 16345 : 13 -> 14 ; 16524 : 6 -> 7 ; 22475 : 27 -> 28 ; 16333 : 32 -> 34 ; 16524 : 15 -> 20 ; 17301 : 5 -> 6 ; 18111 : 38 -> 39 ; 56910 : 30 -> 31 ; 56912 : 32 -> 36 ; 12691 : 10 -> 11 ; 11013 : 24 -> 25 ; 54702 : 3 -> 4 ; 54703 : 30 -> 33 ; 22471 : 1 -> 2,08:09:38:00
77,16232 : 20 -> 21 ; 17616 : 4 -> 5 ; 17236 : 9 -> 10 ; 22652 : 8 -> 10 ; 12647 : 5 -> 7 ; 17236 : 13 -> 14 ; 16528 : 17 -> 18 ; 16235 : 25 -> 26 ; 12786 : 3 -> 4 ; 22134 : 2 -> 3 ; 57477 : 20 -> 24 ; 22691 : 4 -> 5 ; 17430 : 18 -> 19 ; 16229 : 15 -> 16 ; 17430 : 21 -> 22 ; 17307 : 21 -> 22 ; 22882 : 11 -> 12 ; 17320 : 10 -> 11 ; 12702 : 11 -> 12 ; 22601 : 19 -> 20 ; 51033 : 20 -> 22 ; 57515 : 5 -> 9 ; 51033 : 23 -> 24 ; 57515 : 12 -> 15,15:16:14:00
78,58840 : 36 -> 39 ; 58838 : 8 -> 9 ; 58832 : 16 -> 17 ; 58838 : 11 -> 12 ; 58840 : 49 -> 52 ; 22940 : 5 -> 6 ; 18502 : 18 -> 19 ; 22815 : 9 -> 10 ; 22647 : 19 -> 20 ; 17036 : 2 -> 3 ; 17234 : 12 -> 13 ; 12655 : 27 -> 28 ; 07708 : 5 -> 6 ; 17406 : 33 -> 34 ; 22647 : 24 -> 25 ; 17406 : 39 -> 41 ; 17481 : 46 -> 47 ; 57258 : 47 -> 48 ; 17406 : 43 -> 44 ; 18189 : 54 -> 55 ; 18567 : 9 -> 11 ; 18189 : 59 -> 60 ; 17404 : 15 -> 16 ; 22879 : 17 -> 18 ; 12764 : 15 -> 16 ; 57258 : 85 -> 87 ; 17488 : 31 -> 32 ; 22817 : 15 -> 16 ; 22851 : 24 -> 25 ; 22651 : 6 -> 8 ; 17235 : 8 -> 9 ; 16611 : 10 -> 11,19:04:04:00
79,13401 : 1 -> 2 ; 13133 : 30 -> 32 ; 13419 : 2 -> 3 ; 22405 : 2 -> 3 ; 13241 : 10 -> 12 ; 13419 : 6 -> 7 ; 22405 : 4 -> 5 ; 18604 : 7 -> 9 ; 28182 : 21 -> 22 ; 18621 : 27 -> 28 ; 53050 : 20 -> 22 ; 18621 : 30 -> 31 ; 53050 : 25 -> 26 ; 53140 : 3 -> 4 ; 28182 : 24 -> 25 ; 22844 : 11 -> 13 ; 28182 : 29 -> 31 ; 58011 : 38 -> 42 ; 18477 : 16 -> 18 ; 18030 : 16 -> 17 ; 58113 : 10 -> 12 ; 18477 : 19 -> 20 ; 18189 : 6 -> 7 ; 58113 : 19 -> 20 ; 22844 : 16 -> 17 ; 58113 : 24 -> 27 ; 18451 : 9 -> 10 ; 18477 : 25 -> 26 ; 22844 : 18 -> 20 ; 58113 : 42 -> 46 ; 12834 : 14 -> 15 ; 58113 : 49 -> 50 ; 18507 : 23 -> 24 ; 22647 : 4 -> 5 ; 18517 : 5 -> 6 ; 58111 : 58 -> 60 ; 28242 : 17 -> 18 ; 18242 : 28 -> 29 ; 58111 : 64 -> 67 ; 28242 : 19 -> 20 ; 58111 : 73 -> 74 ; 22647 : 9 -> 10 ; 58111 : 77 -> 82 ; 18239 : 25 -> 26 ; 17008 : 19 -> 20 ; 22815 : 9 -> 10 ; 22647 : 19 -> 20 ; 17036 : 2 -> 3 ; 17234 : 12 -> 13 ; 17006 : 27 -> 28 ; 15023 : 19 -> 20 ; 16570 : 1 -> 2 ; 57305 : 13 -> 17,28:16:04:00
